5, 733
10, 1068
15, 467
20, 3354
25, 1448
30, 3186
35, 5024
40, 1760
45, 1337
50, 1322
55, 1432
60, 6094
65, 2514
70, 2079
75, 1960
80, 2121
85, 3040
90, 4999
95, 3381
100, 2901
105, 2802
110, 5781
115, 3896
120, 2983
125, 3382
130, 5850
135, 4080
140, 3074
145, 2987
150, 3937
155, 4406
160, 3379
165, 3857
170, 4667
175, 4953
180, 3824
185, 6649
190, 5289
195, 4488
200, 5420
205, 10314
210, 6058
215, 6017
220, 7375
225, 6536
230, 6587
235, 6033
240, 7202
245, 7165
250, 7591
255, 7718
260, 7874
265, 11364
270, 8661
275, 8636
280, 9128
285, 8756
290, 7972
295, 8377
300, 9113
305, 9374
310, 9931
315, 11495
320, 11379
325, 9604
330, 10807
335, 10145
340, 10643
345, 10404
350, 11022
355, 11875
360, 11355
365, 12606
370, 12600
375, 13017
380, 13470
385, 14272
390, 13514
395, 14284
400, 14112
405, 13858
410, 15680
415, 15613
420, 16000
425, 15616
430, 15562
435, 17013
440, 16789
445, 17668
450, 17734
455, 17488
460, 18565
465, 18792
470, 19033
475, 19720
480, 19617
485, 23944
490, 31694
495, 37249
500, 28611
